䟓,tchräng,tchiäng,,,,,,
竀,tchräng,tchiäng,,,,,,
𤣆,dcrän,tchyn,,,,,,
澄,dcräng,dcyng,,,,,,
裎,dciäng,tchiä́ng,,,,,,
䩶,tchyä́n,tchiä́ng,,,,,,
庱,tchyng,tchýng,,,,,,
稱,tsjhyng,tsjhỳng,,,,,,
逴,tchyak,tchrök,,,,,,
趠,tchràu,tchrök,,,,,,
踔,tchràu,tchrök,,,,,,
𥭓,brök,tschrök,,,,,,皮角切非叉角切？
髉,prök,tschrök,,,,,,此角切非北角切
褈,tsjhyong,dcyong,,,,,,
盅,tchyung,dcyung,,,,,,
魗,dzjyu,tsjhyú,,,,,,
辴,tchýn,tchyi,,,,,,
誃,dcyï,tsjhiḯ,,,,,,
訵,tchyi,tchyì,,,,,,
𦥊,tchyì,tchỳ,,,,,,
掣,tsjhiät,tsjhièj,,,,,,
懘,tsjhiḯ,tsjhièj,,,,,,
䚢,tchyät,tchyèj,,,,,,
跮,tchyì,tchyt,,,,,,
斥,tsjhyà,tsjhiäk,,,,,,
杸,dzjüo,dzjüo,,,,,,
處,tsjhyó,tsjhyò,,,,,,
𧼙,tchyóng,tchyok,,,,,,
闖,tchỳm,tschyáng,,,,,,
創,tschyang,tschyàng,,,,,,
愴,tschyáng,tschyàng,,,,,,
滄,tshang,tschyàng,,,,,,
䚎,tchröng,tchrö̀ng,,,,,,
䎫,tschröng,tschrö̀ng,,,,,,
穿,tsjhvän,tsjhvä̀n,,,,,,
猭,tchüän,tchüä̀n,,,,,,
膗,dzcwäi,dzcwäi,,,,,,
㿷,tshàu,tschüì,,,,,,
圌,dzjvän,dzjvï,,,,,,
篅,dzjvän,dzjvï,,,,,,
吹,tsjhvï,tsjhvï̀,,,,,,
䶴,tsjhvï,tsjhvï̀,,,,,,
出,tsjhvit,tsjhvì,,,,,,
䣩,dcüyn,dzjvin,,,,,,
偆,tsjhvín,tchüýn,,,,,,
緀,tshiei,tshiéi,,,,,,
妻,tshiei,tshièi,,,,,,
鼜,tshàu,tshiek,,,,,,
槍,tschräng,tshyang,,,,,,
鶬,tshang,tshyang,,,,,,
蹡,tshyang,tshyàng,,,,,,
鐰,dzau,tshiäu,,,,,,
幧,tshau,tshiäu,,,,,,
䏆,dzau,dziäu,,,,,,
𡻝,dzcrau,dziäu,,,,,,
藮,dziäu,dziäu,,,,,,
䑎,tschrä́m,tshiäm,,,,,,
朁,tshö́m,dziäm,,,,,,
𥮒,dzien,dziäm,,,,,,
䤘,tschrä́m,tshiä́m,,,,,,
憯,tshö́m,tshiém,,,,,,
芊,tshien,tshièn,,,,,,
䞣,tsjhyà,tshyà,,,,,,
切,tshièi,tshiet,,,,,,
沏,tschyt,tshiet,,,,,,
詧,tschrät,tshiet,,,,,,
駸,tschym,tshim,,,,,,
梣,dzcym,dzim,,,,,,
鈂,dcym,dzim,,,,,,
岑,dzcym,dzim,,,,,,
靘,tshieng,tshièng,,,,,,
倩,tshièn,tshiä̀ng,,,,,,
親,tshin,tshìn,,,,,,
寴,tshin,tshìn,,,,,,
儭,tschỳn,tshìn,,,,,,
皵,tshiäk,tshyak,,,,,,
鰌,tshyu,dzyu,,,,,,
艖,tschra,dzö,,,,,,
𪘓,tshö,dzö,,,,,,
瑳,tshö,tshö́,,,,,,
䰈,dzö,tshö́,,,,,,
䂳,tschwá,tshuö́,,,,,,
磋,tshö,tshö̀,,,,,,
䱜,tshyak,tshak,,,,,,
㔍,tschwat,tschüät,,,,,,
鏦,tschröng,tshyong,,,,,,
摐,tschröng,tshyong,,,,,,
慒,zyu,dzong,,,,,,訓“悰”
㼻,dzcröng,dzong,,,,,,
趥,tshyu,tshyùng,,,,,,千牛切非千仲切
謅,tschráu,tschyu,,,,,,
蔖,dzö,tshó,,,,,,
𧆓,tsho,tshó,,,,,,
